index,column,original_value,modified_value,difference_percentage
10,Val_2,0.022457,0.0,1.0
12,Val_2,0.016178,0.0,1.0
15,Val_2,0.003519,0.0,1.0
18,Val_2,0.004397,0.0,1.0
21,Val_2,0.017589,0.0,1.0
23,Val_2,0.004397,0.030781,6.000454855583352
24,Val_2,0.030781,0.0,1.0
27,Val_2,0.004397,0.003103,0.29429156242892884
28,Val_2,0.003103,0.002565142857142857,0.17333456102389394
31,Val_2,0.002508,0.0,1.0
35,Val_2,0.003743,0.044915,10.999732834624634
36,Val_2,0.044915,0.0,1.0
38,Val_2,0.00524,0.0,1.0
41,Val_2,0.027924,0.0,1.0
43,Val_2,0.003103,0.017941,4.7818240412504025
44,Val_2,0.017941,0.002563,0.8571428571428572
46,Val_2,0.002563,0.020505,7.000390167772141
48,Val_2,0.002563,0.030757,11.00039016777214
49,Val_2,0.030757,0.0,1.0
51,Val_2,0.002563,0.0,1.0
52,Val_2,0.002563,0.0,1.0
53,Val_2,0.002563,0.003684,0.4373780725712056
56,Val_2,0.003684,0.0,1.0
57,Val_2,0.003684,0.0019116,0.48110749185667756
63,Val_2,0.002124,0.0,1.0
64,Val_2,0.002105,0.0,1.0
68,Val_2,0.002105,0.003743,0.7781472684085509
72,Val_2,0.003743,0.0,1.0
73,Val_2,0.003743,0.0,1.0
74,Val_2,0.003743,0.0,1.0
79,Val_2,0.002563,0.0,1.0
82,Val_2,0.002536,0.0,1.0
85,Val_2,0.002087,0.002509,0.20220412074748448
89,Val_2,0.002509,0.0,1.0
91,Val_2,0.002509,0.0,1.0
92,Val_2,0.002563,0.0,1.0
97,Val_2,0.002536,0.003743,0.4759463722397475
98,Val_2,0.002985,0.003743,0.2539363484087102
101,Val_2,0.003743,0.0,1.0
103,Val_2,0.003743,0.0,1.0
104,Val_2,0.003628,0.4040892596862298,110.3807220744845
106,Val_2,0.003743,0.09124352492984988,23.377110587723724
6,Val_3,0.991106,0.74010975,0.2532486434347083
12,Val_3,0.987743,0.73804725,0.2527942491113579
18,Val_3,0.991231,0.7403595,0.25309085369606077
20,Val_3,0.987883,0.74301,0.24787651979029907
21,Val_3,0.99068,0.73987275,0.25316676424274237
25,Val_3,0.990375,0.739353,0.2534615675880348
26,Val_3,0.985804,0.738945,0.250413875374821
36,Val_3,0.988078,0.73986825,0.25120461137683464
41,Val_3,0.981401,0.7428975,0.24302349396424092
43,Val_3,0.989523,0.739995,0.25216998493213405
47,Val_3,0.983931,0.7449600000000001,0.24287373809748847
58,Val_3,0.990836,0.7452810000000001,0.24782607818044555
69,Val_3,0.992115,0.7434795000000001,0.25061157224716885
72,Val_3,0.99206,0.742371,0.2516873979396408
74,Val_3,0.991452,0.74232675,0.25127313273864993
78,Val_3,0.989769,0.743049,0.2492702842784529
82,Val_3,0.990732,0.7425214285714287,0.2505325067006731
83,Val_3,0.989704,0.7398577500000001,0.25244542812800586
91,Val_3,0.992719,0.74271375,0.25183888895044826
97,Val_3,0.990196,0.7428764999999999,0.24976822770441412
104,Val_3,0.994304,0.21728704135130628,0.7814682015245777
105,Val_3,0.992401,0.5519022755385359,0.4438717055519534
106,Val_3,0.986529,0.04525353373768126,0.9541285317130249
107,Val_3,0.986621,0.7626677820706171,0.22699011872784264
108,Val_3,0.985162,0.08266851738546488,0.9160863722053176
2,Val_A,17.639748,14.359983,0.18593037723668168
6,Val_A,13.444857,12.632495,0.060421765735403525
7,Val_A,12.632495,5.8126805,0.5398628299476865
10,Val_A,11.959455,13.541896,0.13231714990356996
11,Val_A,13.541896,14.959352,0.10467190118724892
12,Val_A,14.959352,11.981098,0.19908977340729742
13,Val_A,11.981098,11.138244,0.07034864417267926
14,Val_A,11.138244,12.266928,0.1013341061661066
