CaseName,Val_1,Val_2,Val_3,Val_A,Val_B,Val_C,Val_X,Val_Y,Val_Z,Val_I1,Val_I2,Val_I3
Case 100,1.069588,0.0,0.963536,16.657364,0.817845,17.726952,0.6379191000000001,0.08024821,0.0,2.0,2.0,3.0
Case 101,0.137762,0.003743,0.989709,15.225535,1.2126947999999997,15.363297,1.014322,0.008967,0.002952,2.0,1.0,4.0
Case 102,0.058224,0.003743,0.7428764999999999,7.0619805,1.029294,14.065738,0.7999297800000001,0.004139,0.0029200000000000003,2.0,1.0,4.0
Case 103,0.102411,0.003743,0.993871,18.152843,1.2126947999999997,18.050432,1.006837,0.005674,0.0029744000000000003,2.0,1.0,3.0
Case 104,0.1527075,0.003743,0.990879,18.095659,1.2126947999999997,17.973494,1.006837,0.006797,0.0029744000000000003,2.0,1.0,3.0
Case 105,0.062983,0.003628,0.994304,16.655603,0.772705,16.592621,0.59988006,0.003796,0.0037736000000000002,1.0,1.0,3.0
Case 106,0.037285,0.0,0.992401,16.71002,0.816237,16.672735,0.816237,0.002236,0.0,1.0,1.0,3.0
Case 107,0.233589,0.003743,0.986529,13.321477,0.7904976,13.555066,0.655005,0.02291989,0.0045712,1.0,1.0,2.0
Case 108,0.052679,0.0,0.986621,13.031744,0.67372,13.084423,0.67372,0.004026,0.0,1.0,1.0,2.0
0.8207281374584079,0.6775364747468368,0.4040892596862298,0.21728704135130628,0.7735847352321291,0.8476959291308404,0.5296996198709953,0.4095997195121094,0.018307946647702078,0.14865961285064577,0.8043351900625192,0.41977812359804045,0.3392175702741931
0.2971458504721979,0.7179859935634314,0.9978071813139916,0.5519022755385359,0.8898960452095016,0.1684682870642641,0.8835642961544377,0.7027756374098312,0.42210865394477726,0.8633149477603772,0.23504322614251094,0.563750663429838,0.026560250936994545
0.3800514541366583,0.36183509707674444,0.09124352492984988,0.04525353373768126,0.3424515132947733,0.3554139753162816,0.9958382380486689,0.9442045718534874,0.13114411183839636,0.5183550554747868,0.4772453753499617,0.40110640866052494,0.9306144016650845
0.5153361469497669,0.8095820185970475,0.8817722277751203,0.7626677820706171,0.46442070218186504,0.07391960466043601,0.4704993578739891,0.2005719774576743,0.20856722359570423,0.17753960019911685,0.3542414486212886,0.9117531262167204,0.4335209190432803
0.178295886319636,0.7521622490756228,0.050470565702775194,0.08266851738546488,0.038583441544881136,0.4652786064829074,0.6038286634957863,0.18178934320545626,0.5190297006211498,0.7101532758635656,0.9249803784408488,0.5291316448882264,0.971185732324649
0.5472527610162073,0.006437978516888543,0.47277674852894747,0.5220880797206794,0.15220890808833232,0.6542340841138883,0.13044363016690508,0.4541488737097188,0.9823614509249957,0.13251409415261473,0.060278921246567974,0.0678722782821386,0.09614604704294494
0.8193423749125193,0.629606504222664,0.7836310051410748,0.07713540276216091,0.9719983107656816,0.8828335629916416,0.630433129149583,0.929073088544468,0.3981266056502629,0.4889260966343114,0.6858032342905105,0.2815965798559724,0.6766999542448152
